Sentence,Aspect,Sentiment,PartyLabel
Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13.,Petitioner Jae Lee,0.0,0
Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13.,his,0.0,0
Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13.,he,0.0,0
"In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident.",he,0.0,0
"In the 35 years he has spent in this country, he has never returned to South Korea",he,0.0,0
In the 35 years he has spent in this country,he,0.0,0
"In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana.",lee,-1.0,0
"In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana.",federal officials,1.0,1
"In 2008, federal officials received a tip from a confidential informant",federal officials,1.0,1
Lee had sold the informant ecstasy and marijuana.,lee,-1.0,0
"After obtaining a warrant, the officials searched Lee’s house, where they found drugs, cash, and a loaded rifle.",lee,-1.0,0
"After obtaining a warrant, the officials searched Lee’s house, where they found drugs, cash, and a loaded rifle.",officials,1.0,1
"After obtaining a warrant, the officials searched Lee’s house, where they found drugs, cash, and a loaded rifle.",they,1.0,1
the officials searched Lee’s house,lee,0.0,0
the officials searched Lee’s house,officials,0.0,1
"they found drugs, cash, and a loaded rifle.",they,1.0,1
"Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute.",lee,-1.0,0
"Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute.",his,-1.0,0
"Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute.",him,-1.0,0
"the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute.",his,-1.0,0
"the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute.",him,-1.0,0
Lee retained counsel and entered into plea discussions with the Government.,lee,0.0,0
Lee retained counsel and entered into plea discussions with the Government.,government,0.0,1
"During the plea process, Lee repeatedly asked his attorney whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.",lee,0.0,0
