Sentence,Party,Sentiment,Overall Sentiment
Petitioner Jae Lee moved to the United States from South Korea with his parents when he was 13.,"[[Petitioner Jae Lee,his,he],[]]","[[0,0,0],[]]",0
"In the 35 years he has spent in this country, he has never returned to South Korea, nor has he become a U. S. citizen, living instead as a lawful permanent resident.","[[he_1,he_2,he_3],[]]","[[0,0,0],[]]",0
"In the 35 years he has spent in this country, he has never returned to South Korea","[[he_1,he_2],[]]","[[0,0],[]]",0
In the 35 years he has spent in this country,"[[he],[]]","[[0],[]]",0
"In 2008, federal officials received a tip from a confidential informant that Lee had sold the informant ecstasy and marijuana.","[[lee],[federal officials]]","[[-1],[1]]",-1
"In 2008, federal officials received a tip from a confidential informant","[[],[federal officials]]","[[],[1]]",1
Lee had sold the informant ecstasy and marijuana.,"[[lee],[]]","[[-1],[]]",-1
"After obtaining a warrant, the officials searched Lee’s house, where they found drugs, cash, and a loaded rifle.","[[lee],[officials,they]]","[[-1],[1,1]]",-1
the officials searched Lee’s house,"[[lee,],[officials]]","[[0],[0]]",0
"they found drugs, cash, and a loaded rifle.","[[],[they]]","[[],[1]]",1
"Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute.","[[lee,his,him],[]]","[[-1,-1,-1],[]]",-1
"the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute.","[[his,him],[]]","[[-1,-1],[]]",-1
Lee retained counsel and entered into plea discussions with the Government.,"[[lee],[government]]","[[0],[0]]",0
"During the plea process, Lee repeatedly asked his attorney whether he would face deportation; his attorney assured him that he would not be deported as a result of pleading guilty.","[[lee,his_1,attorney,he_1,his_2,him,he_2],[]]","[[0,0,0,0,0,0,0],[]]",0
"During the plea process, Lee repeatedly asked his attorney","[[lee,his,attorney],[]]","[[0,0,0],[]]",0
He  would face deportation,"[[he],[]]","[[-1],[]]",-1
his attorney assured him,"[[his,him,attorney],[]]","[[0,0,0],[]]",0
he would not be deported as a result of pleading guilty.,"[[he],[]]","[[1],[]]",1
"Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison.","[[lee],[]]","[[-1],[]]",-1
" Lee had in fact pleaded guilty to an “aggravated felony” under the Immigration and Nationality Act, 8 U. S. C. §1101(a)(43)(B), so he was, contrary to his attorney’s advice, subject to mandatory deportation as a result of that plea.","[[lee,he,his,attorney],[]]","[[-1,-1,-1,0],[]]",-1
"so he was, contrary to his attorney’s advice, subject to mandatory deportation as a result of that plea.","[[he,his,attorney],[]]","[[-1,-1,0],[]]",-1
"When Lee learned of this consequence, he filed a motion to vacate his conviction and sentence, arguing that his attorney had provided constitutionally ineffective assistance.","[[lee,he,his_1,his_2,attorney],[]]","[[1,1,1,1,-1],[]]",-1
Lee learned of this consequence,"[[lee],[]]","[[0],[]]",0
arguing that his attorney had provided constitutionally ineffective assistance.,"[[his,attorney],[]]","[[1,0],[]]",-1
his attorney had provided constitutionally ineffective assistance.,"[[his,attorney],[]]","[[-1,0],[]]",-1
" At an evidentiary hearing, both Lee and his plea-stage counsel testified that “deportation was the determinative issue” to Lee in deciding whether to accept a plea, and Lee’s counsel acknowledged that although Lee’s defense to the charge was weak, if he had known Lee would be deported upon pleading guilty, he would have advised him to go to trial.","[[lee,his,counsel,he_1,he_2,him],[]]","[[-1,-1,-1,-1,-1,-1],[]]",-1
Lee’s defense to the charge was weak,"[[lee],[]]","[[-1],[]]",-1
Lee would be deported upon pleading guilty,"[[lee],[]]","[[-1],[]]",-1
A Magistrate Judge recommended that Lee’s plea be set aside and his conviction vacated.,"[[lee,his],[]]","[[1,1],[]]",1
Lee’s plea be set aside and his conviction vacated.,"[[lee,his],[]]","[[1,1],[]]",1
His conviction vacated.,"[[his],[]]","[[1],[]]",1
"Applying the two-part test for ineffective assistance claims from Strickland v. Washington, 466 U. S. 668, the Sixth Circuit concluded that, while the Government conceded that Lee’s counsel had performed deficiently, Lee could not show that he was prejudiced by his attorney’s erroneous advice.","[[lee,counsel,attorney,he,his],[government]]","[[-1,-1,1,-1,-1],[1]]",-1
the Government conceded,"[[],[government]]","[[]],[0]]",0
Lee’s counsel had performed deficiently,"[[lee,counsel],[]]","[[0,-1],[]]",-1
He was prejudiced by his  attorney’s erroneous advice.,"[[he,his,attorney],[]]","[[-1,-1,-1],[]]",-1
Lee has demonstrated that Lee was prejudiced by Lee’s counsel’s erroneous advice.,"[[lee,counsel],[]]","[[1,-1],[]]",-1
Lee has demonstrated,"[[lee],[]]","[[0],[]]",0
Lee was prejudiced by Lee’s counsel’s erroneous advice.,"[[lee,counsel],[]]","[[1,-1],[]]",-1
"When a defendant claims that his counsel’s deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a “reasonable probability that, but for counsel’s errors, he would not have pleaded guilty and would have insisted on going to trial.”","[[],[defendant,his,counsel,him_1,him_2,he]]","[[],[1,1,-1,1,1,1]]",1
his counsel’s deficient performance deprived him of a trial by causing him to accept a plea,"[[],[his,counsel,him_1,him_2]]","[[],[-1,-1,-1,-1]]",-1
"for counsel’s errors, he would not have pleaded guilty and would have insisted on going to trial.","[[],[counsel,he]]","[[],[-1,-1]]",-1
Lee contends that he can make this showing because he never would have accepted a guilty plea had he known the result would be deportation.,"[[lee,he_1,he_2,he_3],[]]","[[1,1,1,1],[]]",1
he can make this showing,"[[he],[]]","[[0],[]]",0
he never would have accepted a guilty plea,"[[he],[]]","[[1],[]]",1
The Government contends that Lee cannot show prejudice from accepting a plea where his only hope at trial was that something unexpected and unpredictable might occur that would lead to acquittal.,"[[lee,his],[government]]","[[-1,-1],[1]]",-1
Lee cannot show prejudice from accepting a plea,"[[lee],[]]","[[-1],[]]",-1
The Government makes two errors in urging the adoption of a per se rule that a defendant with no viable defence cannot show prejudice from the denial of his right to trial.,"[[],[government,defendant,his]]","[[],[-1,-1,-1]]",-1
a defendant with no viable defence cannot show prejudice from the denial of his right to trial.,"[[],[defendant,his]]","[[],[-1,-1]]",-1
"For Lee, deportation after some time in prison was not meaningfully different from deportation after somewhat less time; he says he accordingly would have rejected any plea leading to deportation in favor of throwing a “Hail Mary” at trial.","[[lee,he_1,he_2],[]]","[[0,0,0],[]]",0
he accordingly would have rejected any plea leading to deportation in favor of throwing a “Hail Mary” at trial.,"[[he],[]]","[[0],[]]",0
"The Government argues that Lee cannot “convince the court that a decision to reject the plea bargain would have been rational under the circumstances,” Padilla v. Kentucky, 559 U.S.356, 372, since deportation would almost certainly result from a trial.","[[lee],[government]]","[[-1],[1]]",-1
Lee cannot convince the court,"[[lee],[]]","[[-1],[]]",-1
"Unlike the Government, this Court cannot say that it would be irrational for someone in Lee’s position to risk additional prison time in exchange for holding on to some chance of avoiding deportation.","[[lee],[government]]","[[-1],[1]]",-1
it would be irrational for someone in Lee’s position,"[[lee],[]]","[[0],[]]",0
Petitioner Jae Lee was indicted on one count of possessing ecstasy with intent to distribute.,"[[lee],[]]","[[-1],[]]",-1
"Although he has lived in this country for most of his life, Lee is not a United States citizen, and he feared that a criminal conviction might affect his status as a lawful permanent resident. ","[[he_1,his_1,lee,he_2,his_2],[]]","[[-1,-1,-1,-1,-1],[]]",-1
he has lived in this country for most of his life,"[[he,his],[]]","[[0,0],[]]",0
Lee is not a United States citizen,"[[lee],[]]","[[0],[]]",0
he feared that a criminal conviction might affect his status as a lawful permanent resident.,"[[he,his],[]]","[[-1,-1],[]]",-1
His attorney assured him there was nothing to worry about—the Government would not deport him if he pleaded guilty.,"[[his,attorney,him_1,him_2,he],[government]]","[[1,0,1,1,1],[-1]]",1
The Government would not deport him,"[[him],[government]]","[[1],[0]]",1
he pleaded guilty.,"[[he],[]]","[[-1],[]]",-1
"So Lee, who had no real defense to the charge, opted to accept a plea that carried a lesser prison sentence than he would have faced at trial. ","[[lee,he],[]]","[[1,1],[]]",1
he would have faced at trial.,"[[he],[]]","[[0],[]]",0
Lee’s attorney was wrong: The conviction meant that Lee was subject to mandatory deportation from this country.,"[[lee,attorney],[]]","[[-1,-1],[]]",-1
Lee’s attorney was wrong,"[[lee,attorney],[]]","[[0,-1],[]]",-1
Lee was subject to mandatory deportation from this country.,"[[lee],[]]","[[-1],[]]",-1
" Lee seeks to vacate his conviction on the ground that, in accepting the plea, he received ineffective assistance of counsel in violation of the Sixth Amendment.","[[lee,his,he,counsel],[]]","[[-1,-1,-1,0],[]]",-1
Everyone agrees that Lee received objectively unreasonable representation.,"[[lee],[]]","[[1],[]]",1
Lee received objectively unreasonable representation.,"[[lee],[]]","[[0],[]]",0
"At the same time he was running his lawful businesses, Lee also engaged in some illegitimate activity. ","[[he,his,lee],[]]","[[-1,-1,-1],[]]",-1
he was running his lawful businesses,"[[he,his],[]]","[[1,1],[]]",1
Lee also engaged in some illegitimate activity.,"[[lee],[]]","[[-1],[]]",-1
"In 2008, a confidential informant told federal officials that Lee had sold the informant approximately 200 ecstasy pills and two ounces of hydroponic marijuana over the course of eight years. ","[[lee],[federal officials]]","[[-1],[1]]",-1
Lee had sold the informant approximately 200 ecstasy pills and two ounces of hydroponic marijuana over the course of eight years.,"[[lee],[]]","[[-1],[]]",-1
"The officials obtained a search warrant for Lee’s house, where they found 88 ecstasy pills, three Valium tablets, $32,432 in cash, and a loaded rifle. ","[[lee],[officials]]","[[-1],[1]]",-1
Lee admitted that the drugs were his and that he had given ecstasy to his friends.,"[[lee,his_1,he,his_2],[]]","[[-1,-1,-1,-1],[]]",-1
the drugs were his,"[[his],[]]","[[-1],[]]",-1
he had given ecstasy to his friends.,"[[he,his],[]]","[[-1,-1],[]]",-1
Lee retained an attorney and entered into plea discussions with the Government.,"[[lee,attorney],[government]]","[[0,0],[0]]",0
"The attorney advised Lee that going to trial was “very risky” and that, if he pleaded guilty, he would receive a lighter sentence than he would if convicted at trial. ","[[attorney,lee,he_1,he_2,he_3],[]]","[[0,-1,-1,-1,-1],[]]",-1
Lee informed his attorney of his noncitizen status and repeatedly asked him whether he would face deportation as a result of the criminal proceedings.,"[[lee,his,attorney,him],[]]","[[0,0,0,0],[]]",0
he would face deportation as a result of the criminal proceedings.,"[[he],[]]","[[-1],[]]",-1
The attorney told Lee that he would not be deported as a result of pleading guilty.,"[[attorney,lee,he],[]]","[[0,1,1],[]]",1
he would not be deported as a result of pleading guilty.,"[[he],[]]","[[1],[]]",1
"Lee had pleaded guilty to what qualifies as an “aggravated felony” under the Immigration and Nationality Act, and a noncitizen convicted of such an offense is subject to mandatory deportation. ","[[lee],[]]","[[-1],[]]",-1
"According to Lee, the lawyer assured him that if deportation was not in the plea agreement, “the government cannot deport you.” ","[[lee,lawyer,him],[government]]","[[1,0,1],[-1]]",1
Lee’s attorney testified that he thought Lee’s case was a “bad case to try” because Lee’s defense to the charge was weak.,"[[lee,attorney,he],[]]","[[-1,1,-1],[]]",-1
